# cid2code.txt (Version 09/22/2009)
#
# * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
# * * * * * * * * D E P R E C A T I O N   N O T I C E * * * * * * * *
#
# The use of the Adobe-Japan2-0 character collection is now deprecated
# because the Adobe-Japan1-6 character collection made it
# obsolete. Please refer to the two files named "jisx0212-jp90.txt"
# and "jisx0212-jp04.txt" for the mapping from Adobe-Japan2-0 CIDs to
# corresponding Adobe-Japan1-6 CIDs.
#
# * * * * * * * * D E P R E C A T I O N   N O T I C E * * * * * * * *
# * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
# The data in this table contains seven tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5097 "Adobe-Japan2-0 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 6067 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap resource, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap resources indicated at the head of each column
#   have both "-H" (horizontal writing mode) and "-V" (vertical
#   writing mode) versions. Those with only a "-H" version are
#   explicitly shown with the "-H" appended. Those with both do not
#   have a writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap resource are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap resource. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 and 7, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "Hojo-H" and "Hojo-V" CMaps (JIS
#   X 0212-1990 character set, ISO-2022-JP-1 encoding).
#
# o Column 3: Character codes for the "Hojo-EUC-H" and "Hojo-EUC-V"
#   CMaps (JIS X 0212-1990 character set, EUC-JP encoding).
#
# o Column 4: Character codes for the "UniHojo-UCS2-H" and
#   "UniHojo-UCS2-V" CMaps (Unicode UCS-2/UTF-16 encoding).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 5: Character codes for the "UniHojo-UTF8-H" and
#   "UniHojo-UTF8-V" CMaps (Unicode UTF-8 encoding).
#
# o Column 6: Character codes for the "UniHojo-UTF16-H" and
#   "UniHojo-UTF16-V" CMaps (Unicode UTF-16 encoding).
#
# o Column 7: Character codes for the "UniHojo-UTF32-H" and
#   "UniHojo-UTF32-V" CMaps (Unicode UTF-32 encoding).
#
CID	Hojo	Hojo-EUC	UniHojo-UCS2	UniHojo-UTF8	UniHojo-UTF16	UniHojo-UTF32
65	277b	8fa7fb	045b	d19b	045b	0000045b
66	277c	8fa7fc	045c	d19c	045c	0000045c
67	277d	8fa7fd	045e	d19e	045e	0000045e
68	277e	8fa7fe	045f	d19f	045f	0000045f
69	2921	8fa9a1	00c6	c386	00c6	000000c6
70	2922	8fa9a2	0110	c490	0110	00000110
71	2924	8fa9a4	0126	c4a6	0126	00000126
72	2926	8fa9a6	0132	c4b2	0132	00000132
73	2928	8fa9a8	0141	c581	0141	00000141
74	2929	8fa9a9	013f	c4bf	013f	0000013f
75	292b	8fa9ab	014a	c58a	014a	0000014a
76	292c	8fa9ac	00d8	c398	00d8	000000d8
77	292d	8fa9ad	0152	c592	0152	00000152
78	292f	8fa9af	0166	c5a6	0166	00000166
79	2930	8fa9b0	00de	c39e	00de	000000de
80	2941	8fa9c1	00e6	c3a6	00e6	000000e6
81	2942	8fa9c2	0111	c491	0111	00000111
82	2943	8fa9c3	00f0	c3b0	00f0	000000f0
83	2944	8fa9c4	0127	c4a7	0127	00000127
84	2945	8fa9c5	0131	c4b1	0131	00000131
85	2946	8fa9c6	0133	c4b3	0133	00000133
86	2947	8fa9c7	0138	c4b8	0138	00000138
87	2948	8fa9c8	0142	c582	0142	00000142
88	2949	8fa9c9	0140	c580	0140	00000140
89	294a	8fa9ca	0149	c589	0149	00000149
90	294b	8fa9cb	014b	c58b	014b	0000014b
91	294c	8fa9cc	00f8	c3b8	00f8	000000f8
92	294d	8fa9cd	0153	c593	0153	00000153
93	294e	8fa9ce	00df	c39f	00df	000000df
94	294f	8fa9cf	0167	c5a7	0167	00000167
95	2950	8fa9d0	00fe	c3be	00fe	000000fe
96	2a21	8faaa1	00c1	c381	00c1	000000c1
97	2a22	8faaa2	00c0	c380	00c0	000000c0
98	2a23	8faaa3	00c4	c384	00c4	000000c4
99	2a24	8faaa4	00c2	c382	00c2	000000c2
100	2a25	8faaa5	0102	c482	0102	00000102
101	2a26	8faaa6	01cd	c78d	01cd	000001cd
102	2a27	8faaa7	0100	c480	0100	00000100
103	2a28	8faaa8	0104	c484	0104	00000104
104	2a29	8faaa9	00c5	c385	00c5	000000c5
105	2a2a	8faaaa	00c3	c383	00c3	000000c3
106	2a2b	8faaab	0106	c486	0106	00000106
107	2a2c	8faaac	0108	c488	0108	00000108
108	2a2d	8faaad	010c	c48c	010c	0000010c
109	2a2e	8faaae	00c7	c387	00c7	000000c7
110	2a2f	8faaaf	010a	c48a	010a	0000010a
111	2a30	8faab0	010e	c48e	010e	0000010e
112	2a31	8faab1	00c9	c389	00c9	000000c9
113	2a32	8faab2	00c8	c388	00c8	000000c8
114	2a33	8faab3	00cb	c38b	00cb	000000cb
115	2a34	8faab4	00ca	c38a	00ca	000000ca
116	2a35	8faab5	011a	c49a	011a	0000011a
117	2a36	8faab6	0116	c496	0116	00000116
118	2a37	8faab7	0112	c492	0112	00000112
119	2a38	8faab8	0118	c498	0118	00000118
120	2a3a	8faaba	011c	c49c	011c	0000011c
121	2a3b	8faabb	011e	c49e	011e	0000011e
122	2a3c	8faabc	0122	c4a2	0122	00000122
123	2a3d	8faabd	0120	c4a0	0120	00000120
124	2a3e	8faabe	0124	c4a4	0124	00000124
125	2a3f	8faabf	00cd	c38d	00cd	000000cd
126	2a40	8faac0	00cc	c38c	00cc	000000cc
127	2a41	8faac1	00cf	c38f	00cf	000000cf
128	2a42	8faac2	00ce	c38e	00ce	000000ce
129	2a43	8faac3	01cf	c78f	01cf	000001cf
130	2a44	8faac4	0130	c4b0	0130	00000130
131	2a45	8faac5	012a	c4aa	012a	0000012a
132	2a46	8faac6	012e	c4ae	012e	0000012e
133	2a47	8faac7	0128	c4a8	0128	00000128
134	2a48	8faac8	0134	c4b4	0134	00000134
135	2a49	8faac9	0136	c4b6	0136	00000136
136	2a4a	8faaca	0139	c4b9	0139	00000139
137	2a4b	8faacb	013d	c4bd	013d	0000013d
138	2a4c	8faacc	013b	c4bb	013b	0000013b
139	2a4d	8faacd	0143	c583	0143	00000143
140	2a4e	8faace	0147	c587	0147	00000147
141	2a4f	8faacf	0145	c585	0145	00000145
142	2a50	8faad0	00d1	c391	00d1	000000d1
143	2a51	8faad1	00d3	c393	00d3	000000d3
144	2a52	8faad2	00d2	c392	00d2	000000d2
145	2a53	8faad3	00d6	c396	00d6	000000d6
146	2a54	8faad4	00d4	c394	00d4	000000d4
147	2a55	8faad5	01d1	c791	01d1	000001d1
148	2a56	8faad6	0150	c590	0150	00000150
149	2a57	8faad7	014c	c58c	014c	0000014c
150	2a58	8faad8	00d5	c395	00d5	000000d5
151	2a59	8faad9	0154	c594	0154	00000154
152	2a5a	8faada	0158	c598	0158	00000158
153	2a5b	8faadb	0156	c596	0156	00000156
154	2a5c	8faadc	015a	c59a	015a	0000015a
155	2a5d	8faadd	015c	c59c	015c	0000015c
156	2a5e	8faade	0160	c5a0	0160	00000160
157	2a5f	8faadf	015e	c59e	015e	0000015e
158	2a60	8faae0	0164	c5a4	0164	00000164
159	2a61	8faae1	0162	c5a2	0162	00000162
160	2a62	8faae2	00da	c39a	00da	000000da
161	2a63	8faae3	00d9	c399	00d9	000000d9
162	2a64	8faae4	00dc	c39c	00dc	000000dc
163	2a65	8faae5	00db	c39b	00db	000000db
164	2a66	8faae6	016c	c5ac	016c	0000016c
165	2a67	8faae7	01d3	c793	01d3	000001d3
166	2a68	8faae8	0170	c5b0	0170	00000170
167	2a69	8faae9	016a	c5aa	016a	0000016a
168	2a6a	8faaea	0172	c5b2	0172	00000172
169	2a6b	8faaeb	016e	c5ae	016e	0000016e
170	2a6c	8faaec	0168	c5a8	0168	00000168
171	2a6d	8faaed	01d7	c797	01d7	000001d7
172	2a6e	8faaee	01db	c79b	01db	000001db
173	2a6f	8faaef	01d9	c799	01d9	000001d9
174	2a70	8faaf0	01d5	c795	01d5	000001d5
175	2a71	8faaf1	0174	c5b4	0174	00000174
176	2a72	8faaf2	00dd	c39d	00dd	000000dd
177	2a73	8faaf3	0178	c5b8	0178	00000178
178	2a74	8faaf4	0176	c5b6	0176	00000176
179	2a75	8faaf5	0179	c5b9	0179	00000179
180	2a76	8faaf6	017d	c5bd	017d	0000017d
181	2a77	8faaf7	017b	c5bb	017b	0000017b
182	2b21	8faba1	00e1	c3a1	00e1	000000e1
183	2b22	8faba2	00e0	c3a0	00e0	000000e0
184	2b23	8faba3	00e4	c3a4	00e4	000000e4
185	2b24	8faba4	00e2	c3a2	00e2	000000e2
186	2b25	8faba5	0103	c483	0103	00000103
187	2b26	8faba6	01ce	c78e	01ce	000001ce
188	2b27	8faba7	0101	c481	0101	00000101
189	2b28	8faba8	0105	c485	0105	00000105
190	2b29	8faba9	00e5	c3a5	00e5	000000e5
191	2b2a	8fabaa	00e3	c3a3	00e3	000000e3
192	2b2b	8fabab	0107	c487	0107	00000107
193	2b2c	8fabac	0109	c489	0109	00000109
194	2b2d	8fabad	010d	c48d	010d	0000010d
195	2b2e	8fabae	00e7	c3a7	00e7	000000e7
196	2b2f	8fabaf	010b	c48b	010b	0000010b
197	2b30	8fabb0	010f	c48f	010f	0000010f
198	2b31	8fabb1	00e9	c3a9	00e9	000000e9
199	2b32	8fabb2	00e8	c3a8	00e8	000000e8
200	2b33	8fabb3	00eb	c3ab	00eb	000000eb
201	2b34	8fabb4	00ea	c3aa	00ea	000000ea
202	2b35	8fabb5	011b	c49b	011b	0000011b
203	2b36	8fabb6	0117	c497	0117	00000117
204	2b37	8fabb7	0113	c493	0113	00000113
205	2b38	8fabb8	0119	c499	0119	00000119
206	2b39	8fabb9	01f5	c7b5	01f5	000001f5
207	2b3a	8fabba	011d	c49d	011d	0000011d
208	2b3b	8fabbb	011f	c49f	011f	0000011f
209	2b3d	8fabbd	0121	c4a1	0121	00000121
210	2b3e	8fabbe	0125	c4a5	0125	00000125
211	2b3f	8fabbf	00ed	c3ad	00ed	000000ed
212	2b40	8fabc0	00ec	c3ac	00ec	000000ec
213	2b41	8fabc1	00ef	c3af	00ef	000000ef
214	2b42	8fabc2	00ee	c3ae	00ee	000000ee
215	2b43	8fabc3	01d0	c790	01d0	000001d0
216	2b45	8fabc5	012b	c4ab	012b	0000012b
217	2b46	8fabc6	012f	c4af	012f	0000012f
218	2b47	8fabc7	0129	c4a9	0129	00000129
219	2b48	8fabc8	0135	c4b5	0135	00000135
220	2b49	8fabc9	0137	c4b7	0137	00000137
221	2b4a	8fabca	013a	c4ba	013a	0000013a
222	2b4b	8fabcb	013e	c4be	013e	0000013e
223	2b4c	8fabcc	013c	c4bc	013c	0000013c
224	2b4d	8fabcd	0144	c584	0144	00000144
225	2b4e	8fabce	0148	c588	0148	00000148
226	2b4f	8fabcf	0146	c586	0146	00000146
227	2b50	8fabd0	00f1	c3b1	00f1	000000f1
228	2b51	8fabd1	00f3	c3b3	00f3	000000f3
229	2b52	8fabd2	00f2	c3b2	00f2	000000f2
230	2b53	8fabd3	00f6	c3b6	00f6	000000f6
231	2b54	8fabd4	00f4	c3b4	00f4	000000f4
232	2b55	8fabd5	01d2	c792	01d2	000001d2
233	2b56	8fabd6	0151	c591	0151	00000151
234	2b57	8fabd7	014d	c58d	014d	0000014d
235	2b58	8fabd8	00f5	c3b5	00f5	000000f5
236	2b59	8fabd9	0155	c595	0155	00000155
237	2b5a	8fabda	0159	c599	0159	00000159
238	2b5b	8fabdb	0157	c597	0157	00000157
239	2b5c	8fabdc	015b	c59b	015b	0000015b
240	2b5d	8fabdd	015d	c59d	015d	0000015d
241	2b5e	8fabde	0161	c5a1	0161	00000161
242	2b5f	8fabdf	015f	c59f	015f	0000015f
243	2b60	8fabe0	0165	c5a5	0165	00000165
244	2b61	8fabe1	0163	c5a3	0163	00000163
245	2b62	8fabe2	00fa	c3ba	00fa	000000fa
246	2b63	8fabe3	00f9	c3b9	00f9	000000f9
247	2b64	8fabe4	00fc	c3bc	00fc	000000fc
248	2b65	8fabe5	00fb	c3bb	00fb	000000fb
249	2b66	8fabe6	016d	c5ad	016d	0000016d
250	2b67	8fabe7	01d4	c794	01d4	000001d4
251	2b68	8fabe8	0171	c5b1	0171	00000171
252	2b69	8fabe9	016b	c5ab	016b	0000016b
253	2b6a	8fabea	0173	c5b3	0173	00000173
254	2b6b	8fabeb	016f	c5af	016f	0000016f
255	2b6c	8fabec	0169	c5a9	0169	00000169
256	2b6d	8fabed	01d8	c798	01d8	000001d8
257	2b6e	8fabee	01dc	c79c	01dc	000001dc
258	2b6f	8fabef	01da	c79a	01da	000001da
259	2b70	8fabf0	01d6	c796	01d6	000001d6
260	2b71	8fabf1	0175	c5b5	0175	00000175
261	2b72	8fabf2	00fd	c3bd	00fd	000000fd
262	2b73	8fabf3	00ff	c3bf	00ff	000000ff
263	2b74	8fabf4	0177	c5b7	0177	00000177
264	2b75	8fabf5	017a	c5ba	017a	0000017a
265	2b76	8fabf6	017e	c5be	017e	0000017e
266	2b77	8fabf7	017c	c5bc	017c	0000017c
267	3021	8fb0a1	4e02	e4b882	4e02	00004e02
268	3022	8fb0a2	4e04	e4b884	4e04	00004e04
269	3023	8fb0a3	4e05	e4b885	4e05	00004e05
270	3024	8fb0a4	4e0c	e4b88c	4e0c	00004e0c
271	3025	8fb0a5	4e12	e4b892	4e12	00004e12
272	3026	8fb0a6	4e1f	e4b89f	4e1f	00004e1f
273	3027	8fb0a7	4e23	e4b8a3	4e23	00004e23
274	3028	8fb0a8	4e24	e4b8a4	4e24	00004e24
275	3029	8fb0a9	4e28	e2bc81,e4b8a8	2f01,4e28	00002f01,00004e28
276	302a	8fb0aa	4e2b	e4b8ab	4e2b	00004e2b
277	302b	8fb0ab	4e2e	e4b8ae	4e2e	00004e2e
278	302c	8fb0ac	4e2f	e4b8af	4e2f	00004e2f
279	302d	8fb0ad	4e30	e4b8b0	4e30	00004e30
280	302e	8fb0ae	4e35	e4b8b5	4e35	00004e35
281	302f	8fb0af	4e40	e4b980	4e40	00004e40
282	3030	8fb0b0	4e41	e4b981	4e41	00004e41
283	3031	8fb0b1	4e44	e4b984	4e44	00004e44
284	3032	8fb0b2	4e47	e4b987	4e47	00004e47
285	3033	8fb0b3	4e51	e4b991	4e51	00004e51
286	3034	8fb0b4	4e5a	e2ba83,e4b99a	2e83,4e5a	00002e83,00004e5a
287	3035	8fb0b5	4e5c	e4b99c	4e5c	00004e5c
288	3036	8fb0b6	4e63	e4b9a3	4e63	00004e63
289	3037	8fb0b7	4e68	e4b9a8	4e68	00004e68
290	3038	8fb0b8	4e69	e4b9a9	4e69	00004e69
291	3039	8fb0b9	4e74	e4b9b4	4e74	00004e74
292	303a	8fb0ba	4e75	e4b9b5	4e75	00004e75
293	303b	8fb0bb	4e79	e4b9b9	4e79	00004e79
294	303c	8fb0bc	4e7f	e4b9bf	4e7f	00004e7f
295	303d	8fb0bd	4e8d	e4ba8d	4e8d	00004e8d
296	303e	8fb0be	4e96	e4ba96	4e96	00004e96
297	303f	8fb0bf	4e97	e4ba97	4e97	00004e97
298	3040	8fb0c0	4e9d	e4ba9d	4e9d	00004e9d
299	3041	8fb0c1	4eaf	e4baaf	4eaf	00004eaf
300	3042	8fb0c2	4eb9	e4bab9	4eb9	00004eb9
301	3043	8fb0c3	4ec3	e4bb83	4ec3	00004ec3
302	3044	8fb0c4	4ed0	e4bb90	4ed0	00004ed0
303	3045	8fb0c5	4eda	e4bb9a	4eda	00004eda
304	3046	8fb0c6	4edb	e4bb9b	4edb	00004edb
305	3047	8fb0c7	4ee0	e4bba0	4ee0	00004ee0
306	3048	8fb0c8	4ee1	e4bba1	4ee1	00004ee1
307	3049	8fb0c9	4ee2	e4bba2	4ee2	00004ee2
308	304a	8fb0ca	4ee8	e4bba8	4ee8	00004ee8
309	304b	8fb0cb	4eef	e4bbaf	4eef	00004eef
310	304c	8fb0cc	4ef1	e4bbb1	4ef1	00004ef1
311	304d	8fb0cd	4ef3	e4bbb3	4ef3	00004ef3
312	304e	8fb0ce	4ef5	e4bbb5	4ef5	00004ef5
313	304f	8fb0cf	4efd	e4bbbd	4efd	00004efd
314	3050	8fb0d0	4efe	e4bbbe	4efe	00004efe
315	3051	8fb0d1	4eff	e4bbbf	4eff	00004eff
316	3052	8fb0d2	4f00	e4bc80	4f00	00004f00
317	3053	8fb0d3	4f02	e4bc82	4f02	00004f02
318	3054	8fb0d4	4f03	e4bc83	4f03	00004f03
319	3055	8fb0d5	4f08	e4bc88	4f08	00004f08
320	3056	8fb0d6	4f0b	e4bc8b	4f0b	00004f0b
321	3057	8fb0d7	4f0c	e4bc8c	4f0c	00004f0c
322	3058	8fb0d8	4f12	e4bc92	4f12	00004f12
323	3059	8fb0d9	4f15	e4bc95	4f15	00004f15
324	305a	8fb0da	4f16	e4bc96	4f16	00004f16
325	305b	8fb0db	4f17	e4bc97	4f17	00004f17
326	305c	8fb0dc	4f19	e4bc99	4f19	00004f19
327	305d	8fb0dd	4f2e	e4bcae	4f2e	00004f2e
328	305e	8fb0de	4f31	e4bcb1	4f31	00004f31
329	305f	8fb0df	4f60	e4bda0	4f60	00004f60
330	3060	8fb0e0	4f33	e4bcb3	4f33	00004f33
331	3061	8fb0e1	4f35	e4bcb5	4f35	00004f35
332	3062	8fb0e2	4f37	e4bcb7	4f37	00004f37
333	3063	8fb0e3	4f39	e4bcb9	4f39	00004f39
334	3064	8fb0e4	4f3b	e4bcbb	4f3b	00004f3b
335	3065	8fb0e5	4f3e	e4bcbe	4f3e	00004f3e
336	3066	8fb0e6	4f40	e4bd80	4f40	00004f40
337	3067	8fb0e7	4f42	e4bd82	4f42	00004f42
338	3068	8fb0e8	4f48	e4bd88	4f48	00004f48
339	3069	8fb0e9	4f49	e4bd89	4f49	00004f49
340	306a	8fb0ea	4f4b	e4bd8b	4f4b	00004f4b
341	306b	8fb0eb	4f4c	e4bd8c	4f4c	00004f4c
342	306c	8fb0ec	4f52	e4bd92	4f52	00004f52
343	306d	8fb0ed	4f54	e4bd94	4f54	00004f54
344	306e	8fb0ee	4f56	e4bd96	4f56	00004f56
345	306f	8fb0ef	4f58	e4bd98	4f58	00004f58
346	3070	8fb0f0	4f5f	e4bd9f	4f5f	00004f5f
347	3071	8fb0f1	4f63	e4bda3	4f63	00004f63
348	3072	8fb0f2	4f6a	e4bdaa	4f6a	00004f6a
349	3073	8fb0f3	4f6c	e4bdac	4f6c	00004f6c
350	3074	8fb0f4	4f6e	e4bdae	4f6e	00004f6e
351	3075	8fb0f5	4f71	e4bdb1	4f71	00004f71
352	3076	8fb0f6	4f77	e4bdb7	4f77	00004f77
353	3077	8fb0f7	4f78	e4bdb8	4f78	00004f78
354	3078	8fb0f8	4f79	e4bdb9	4f79	00004f79
355	3079	8fb0f9	4f7a	e4bdba	4f7a	00004f7a
356	307a	8fb0fa	4f7d	e4bdbd	4f7d	00004f7d
357	307b	8fb0fb	4f7e	e4bdbe	4f7e	00004f7e
358	307c	8fb0fc	4f81	e4be81	4f81	00004f81
359	307d	8fb0fd	4f82	e4be82	4f82	00004f82
360	307e	8fb0fe	4f84	e4be84	4f84	00004f84
361	3121	8fb1a1	4f85	e4be85	4f85	00004f85
362	3122	8fb1a2	4f89	e4be89	4f89	00004f89
363	3123	8fb1a3	4f8a	e4be8a	4f8a	00004f8a
364	3124	8fb1a4	4f8c	e4be8c	4f8c	00004f8c
365	3125	8fb1a5	4f8e	e4be8e	4f8e	00004f8e
366	3126	8fb1a6	4f90	e4be90	4f90	00004f90
367	3127	8fb1a7	4f92	e4be92	4f92	00004f92
368	3128	8fb1a8	4f93	e4be93	4f93	00004f93
369	3129	8fb1a9	4f94	e4be94	4f94	00004f94
370	312a	8fb1aa	4f97	e4be97	4f97	00004f97
371	312b	8fb1ab	4f99	e4be99	4f99	00004f99
372	312c	8fb1ac	4f9a	e4be9a	4f9a	00004f9a
373	312d	8fb1ad	4f9e	e4be9e	4f9e	00004f9e
374	312e	8fb1ae	4f9f	e4be9f	4f9f	00004f9f
375	312f	8fb1af	4fb2	e4beb2	4fb2	00004fb2
376	3130	8fb1b0	4fb7	e4beb7	4fb7	00004fb7
377	3131	8fb1b1	4fb9	e4beb9	4fb9	00004fb9
378	3132	8fb1b2	4fbb	e4bebb	4fbb	00004fbb
379	3133	8fb1b3	4fbc	e4bebc	4fbc	00004fbc
380	3134	8fb1b4	4fbd	e4bebd	4fbd	00004fbd
381	3135	8fb1b5	4fbe	e4bebe	4fbe	00004fbe
382	3136	8fb1b6	4fc0	e4bf80	4fc0	00004fc0
383	3137	8fb1b7	4fc1	e4bf81	4fc1	00004fc1
384	3138	8fb1b8	4fc5	e4bf85	4fc5	00004fc5
385	3139	8fb1b9	4fc6	e4bf86	4fc6	00004fc6
386	313a	8fb1ba	4fc8	e4bf88	4fc8	00004fc8
387	313b	8fb1bb	4fc9	e4bf89	4fc9	00004fc9
388	313c	8fb1bc	4fcb	e4bf8b	4fcb	00004fcb
389	313d	8fb1bd	4fcc	e4bf8c	4fcc	00004fcc
390	313e	8fb1be	4fcd	e4bf8d	4fcd	00004fcd
