# JIS X 0212-1990 Database for Adobe-Japan1-6
# Based on UniJIS-UTF{8,16,32}-H CMap Files
# by Ken Lunde (lunde@adobe.com)
# Version June 5, 2004
#
# Because Adobe-Japan1-6 obsoletes Adobe-Japan2-0, the correspondence
# between the two character collections is provided.
#
# Adobe-Japan1-6 CIDs in parentheses are those that are considered the
# prototypical glyphs from the JIS X 0212-1990 standard. In the case
# of kanji, they are made accessible through the OpenType 'hojo' GSUB
# feature.
#
KuTen	2022JP	EUCJP	Unicode	Adobe-Japan1-6	Adobe-Japan2-0
1041	0x2A49	0x8FAAC9	U+0136	20340	135
1042	0x2A4A	0x8FAACA	U+0139	15757	136
1043	0x2A4B	0x8FAACB	U+013D	15739 (20341)	137
1044	0x2A4C	0x8FAACC	U+013B	20342	138
1045	0x2A4D	0x8FAACD	U+0143	15762	139
1046	0x2A4E	0x8FAACE	U+0147	15763	140
1047	0x2A4F	0x8FAACF	U+0145	20343	141
1048	0x2A50	0x8FAAD0	U+00D1	180	142
1049	0x2A51	0x8FAAD1	U+00D3	182	143
1050	0x2A52	0x8FAAD2	U+00D2	181	144
1051	0x2A53	0x8FAAD3	U+00D6	185	145
1052	0x2A54	0x8FAAD4	U+00D4	183	146
1053	0x2A55	0x8FAAD5	U+01D1	9401	147
1054	0x2A56	0x8FAAD6	U+0150	15764	148
1055	0x2A57	0x8FAAD7	U+014C	9370	149
1056	0x2A58	0x8FAAD8	U+00D5	184	150
1057	0x2A59	0x8FAAD9	U+0154	15755	151
1058	0x2A5A	0x8FAADA	U+0158	15765	152
1059	0x2A5B	0x8FAADB	U+0156	20344	153
1060	0x2A5C	0x8FAADC	U+015A	15740	154
1061	0x2A5D	0x8FAADD	U+015C	15787	155
1062	0x2A5E	0x8FAADE	U+0160	223	156
1063	0x2A5F	0x8FAADF	U+015E	15741	157
1064	0x2A60	0x8FAAE0	U+0164	15742	158
1065	0x2A61	0x8FAAE1	U+0162	15767	159
1066	0x2A62	0x8FAAE2	U+00DA	188	160
1067	0x2A63	0x8FAAE3	U+00D9	187	161
1068	0x2A64	0x8FAAE4	U+00DC	190	162
1069	0x2A65	0x8FAAE5	U+00DB	189	163
1070	0x2A66	0x8FAAE6	U+016C	15788	164
1071	0x2A67	0x8FAAE7	U+01D3	9403	165
1072	0x2A68	0x8FAAE8	U+0170	15766	166
1073	0x2A69	0x8FAAE9	U+016A	9368	167
1074	0x2A6A	0x8FAAEA	U+0172	20345	168
1075	0x2A6B	0x8FAAEB	U+016E	9404	169
1076	0x2A6C	0x8FAAEC	U+0168	9405	170
1077	0x2A6D	0x8FAAED	U+01D7	20346	171
1078	0x2A6E	0x8FAAEE	U+01DB	20347	172
1079	0x2A6F	0x8FAAEF	U+01D9	20348	173
1080	0x2A70	0x8FAAF0	U+01D5	20349	174
1081	0x2A71	0x8FAAF1	U+0174	20350	175
1082	0x2A72	0x8FAAF2	U+00DD	191	176
1083	0x2A73	0x8FAAF3	U+0178	224	177
1084	0x2A74	0x8FAAF4	U+0176	20351	178
1085	0x2A75	0x8FAAF5	U+0179	15743	179
1086	0x2A76	0x8FAAF6	U+017D	225	180
1087	0x2A77	0x8FAAF7	U+017B	15744	181
1101	0x2B21	0x8FABA1	U+00E1	194	182
1102	0x2B22	0x8FABA2	U+00E0	193	183
1103	0x2B23	0x8FABA3	U+00E4	197	184
1104	0x2B24	0x8FABA4	U+00E2	195	185
1105	0x2B25	0x8FABA5	U+0103	15769	186
1106	0x2B26	0x8FABA6	U+01CE	9406	187
1107	0x2B27	0x8FABA7	U+0101	9361	188
1108	0x2B28	0x8FABA8	U+0105	15745	189
1109	0x2B29	0x8FABA9	U+00E5	198	190
1110	0x2B2A	0x8FABAA	U+00E3	196	191
1111	0x2B2B	0x8FABAB	U+0107	15771	192
1112	0x2B2C	0x8FABAC	U+0109	15789	193
1113	0x2B2D	0x8FABAD	U+010D	15772	194
1114	0x2B2E	0x8FABAE	U+00E7	199	195
1115	0x2B2F	0x8FABAF	U+010B	20352	196
1116	0x2B30	0x8FABB0	U+010F	15774	197
1117	0x2B31	0x8FABB1	U+00E9	201	198
1118	0x2B32	0x8FABB2	U+00E8	200	199
1119	0x2B33	0x8FABB3	U+00EB	203	200
1120	0x2B34	0x8FABB4	U+00EA	202	201
1121	0x2B35	0x8FABB5	U+011B	9407	202
1122	0x2B36	0x8FABB6	U+0117	20353	203
1123	0x2B37	0x8FABB7	U+0113	9364	204
1124	0x2B38	0x8FABB8	U+0119	15773	205
1125	0x2B39	0x8FABB9	U+01F5	20354	206
1126	0x2B3A	0x8FABBA	U+011D	15790	207
1127	0x2B3B	0x8FABBB	U+011F	20355	208
1129	0x2B3D	0x8FABBD	U+0121	20356	209
1130	0x2B3E	0x8FABBE	U+0125	15791	210
1131	0x2B3F	0x8FABBF	U+00ED	205	211
1132	0x2B40	0x8FABC0	U+00EC	204	212
1133	0x2B41	0x8FABC1	U+00EF	207	213
1134	0x2B42	0x8FABC2	U+00EE	206	214
1135	0x2B43	0x8FABC3	U+01D0	9410	215
1137	0x2B45	0x8FABC5	U+012B	9362	216
1138	0x2B46	0x8FABC6	U+012F	20357	217
1139	0x2B47	0x8FABC7	U+0129	9412	218
1140	0x2B48	0x8FABC8	U+0135	15792	219
1141	0x2B49	0x8FABC9	U+0137	20358	220
1142	0x2B4A	0x8FABCA	U+013A	15770	221
1143	0x2B4B	0x8FABCB	U+013E	15747 (20359)	222
1144	0x2B4C	0x8FABCC	U+013C	20360	223
1145	0x2B4D	0x8FABCD	U+0144	15776	224
1146	0x2B4E	0x8FABCE	U+0148	15777	225
1147	0x2B4F	0x8FABCF	U+0146	20361	226
1148	0x2B50	0x8FABD0	U+00F1	209	227
1149	0x2B51	0x8FABD1	U+00F3	211	228
1150	0x2B52	0x8FABD2	U+00F2	210	229
1151	0x2B53	0x8FABD3	U+00F6	214	230
1152	0x2B54	0x8FABD4	U+00F4	212	231
1153	0x2B55	0x8FABD5	U+01D2	9413	232
1154	0x2B56	0x8FABD6	U+0151	15778	233
1155	0x2B57	0x8FABD7	U+014D	9365	234
1156	0x2B58	0x8FABD8	U+00F5	213	235
1157	0x2B59	0x8FABD9	U+0155	15768	236
1158	0x2B5A	0x8FABDA	U+0159	15779	237
1159	0x2B5B	0x8FABDB	U+0157	20362	238
1160	0x2B5C	0x8FABDC	U+015B	15748	239
1161	0x2B5D	0x8FABDD	U+015D	15793	240
1162	0x2B5E	0x8FABDE	U+0161	227	241
1163	0x2B5F	0x8FABDF	U+015F	15750	242
1164	0x2B60	0x8FABE0	U+0165	15751	243
1165	0x2B61	0x8FABE1	U+0163	15781	244
1166	0x2B62	0x8FABE2	U+00FA	217	245
1167	0x2B63	0x8FABE3	U+00F9	216	246
1168	0x2B64	0x8FABE4	U+00FC	219	247
1169	0x2B65	0x8FABE5	U+00FB	218	248
1170	0x2B66	0x8FABE6	U+016D	15794	249
1171	0x2B67	0x8FABE7	U+01D4	9415	250
1172	0x2B68	0x8FABE8	U+0171	15780	251
1173	0x2B69	0x8FABE9	U+016B	9363	252
1174	0x2B6A	0x8FABEA	U+0173	20363	253
1175	0x2B6B	0x8FABEB	U+016F	9416	254
1176	0x2B6C	0x8FABEC	U+0169	9417	255
1177	0x2B6D	0x8FABED	U+01D8	15734	256
1178	0x2B6E	0x8FABEE	U+01DC	15736	257
1179	0x2B6F	0x8FABEF	U+01DA	15735	258
1180	0x2B70	0x8FABF0	U+01D6	15733	259
1181	0x2B71	0x8FABF1	U+0175	20364	260
1182	0x2B72	0x8FABF2	U+00FD	220	261
1183	0x2B73	0x8FABF3	U+00FF	222	262
1184	0x2B74	0x8FABF4	U+0177	20365	263
1185	0x2B75	0x8FABF5	U+017A	15752	264
1186	0x2B76	0x8FABF6	U+017E	229	265
1187	0x2B77	0x8FABF7	U+017C	15754	266
1601	0x3021	0x8FB0A1	U+4E02	17234	267
1602	0x3022	0x8FB0A2	U+4E04	14296	268
1603	0x3023	0x8FB0A3	U+4E05	14297	269
1604	0x3024	0x8FB0A4	U+4E0C	19140	270
1605	0x3025	0x8FB0A5	U+4E12	17236	271
1606	0x3026	0x8FB0A6	U+4E1F	14298	272
1607	0x3027	0x8FB0A7	U+4E23	19141	273
1608	0x3028	0x8FB0A8	U+4E24	19142	274
1609	0x3029	0x8FB0A9	U+4E28	8371	275
1610	0x302A	0x8FB0AA	U+4E2B	14299	276
1611	0x302B	0x8FB0AB	U+4E2E	17238	277
1612	0x302C	0x8FB0AC	U+4E2F	14300	278
1613	0x302D	0x8FB0AD	U+4E30	14301	279
1614	0x302E	0x8FB0AE	U+4E35	21075	280
1615	0x302F	0x8FB0AF	U+4E40	14302	281
1616	0x3030	0x8FB0B0	U+4E41	14303	282
1617	0x3031	0x8FB0B1	U+4E44	14304	283
1618	0x3032	0x8FB0B2	U+4E47	17239	284
1619	0x3033	0x8FB0B3	U+4E51	17241	285
1620	0x3034	0x8FB0B4	U+4E5A	14305	286
1621	0x3035	0x8FB0B5	U+4E5C	21076	287
1622	0x3036	0x8FB0B6	U+4E63	21077	288
1623	0x3037	0x8FB0B7	U+4E68	21078	289
1624	0x3038	0x8FB0B8	U+4E69	17244	290
1625	0x3039	0x8FB0B9	U+4E74	21079	291
1626	0x303A	0x8FB0BA	U+4E75	21080	292
1627	0x303B	0x8FB0BB	U+4E79	19143	293
1628	0x303C	0x8FB0BC	U+4E7F	14306	294
1629	0x303D	0x8FB0BD	U+4E8D	14307	295
1630	0x303E	0x8FB0BE	U+4E96	14308	296
1631	0x303F	0x8FB0BF	U+4E97	21081	297
1632	0x3040	0x8FB0C0	U+4E9D	17245	298
1633	0x3041	0x8FB0C1	U+4EAF	21082	299
1634	0x3042	0x8FB0C2	U+4EB9	14309	300
1635	0x3043	0x8FB0C3	U+4EC3	17248	301
1636	0x3044	0x8FB0C4	U+4ED0	14310	302
1637	0x3045	0x8FB0C5	U+4EDA	17251	303
1638	0x3046	0x8FB0C6	U+4EDB	21083	304
1639	0x3047	0x8FB0C7	U+4EE0	14311	305
1640	0x3048	0x8FB0C8	U+4EE1	8372	306
1641	0x3049	0x8FB0C9	U+4EE2	21084	307
1642	0x304A	0x8FB0CA	U+4EE8	21085	308
1643	0x304B	0x8FB0CB	U+4EEF	21086	309
1644	0x304C	0x8FB0CC	U+4EF1	17252	310
1645	0x304D	0x8FB0CD	U+4EF3	19144	311
1646	0x304E	0x8FB0CE	U+4EF5	17253	312
1647	0x304F	0x8FB0CF	U+4EFD	14312	313
1648	0x3050	0x8FB0D0	U+4EFE	21087	314
1649	0x3051	0x8FB0D1	U+4EFF	14313	315
1650	0x3052	0x8FB0D2	U+4F00	8374	316
1651	0x3053	0x8FB0D3	U+4F02	21088	317
1652	0x3054	0x8FB0D4	U+4F03	8375	318
1653	0x3055	0x8FB0D5	U+4F08	21089	319
1654	0x3056	0x8FB0D6	U+4F0B	14314	320
1655	0x3057	0x8FB0D7	U+4F0C	19145	321
1656	0x3058	0x8FB0D8	U+4F12	21090	322
1657	0x3059	0x8FB0D9	U+4F15	14315	323
1658	0x305A	0x8FB0DA	U+4F16	17254	324
1659	0x305B	0x8FB0DB	U+4F17	21091	325
1660	0x305C	0x8FB0DC	U+4F19	19146	326
1661	0x305D	0x8FB0DD	U+4F2E	19148	327
1662	0x305E	0x8FB0DE	U+4F31	19149	328
1663	0x305F	0x8FB0DF	U+4F60	14316	329
1664	0x3060	0x8FB0E0	U+4F33	21092	330
1665	0x3061	0x8FB0E1	U+4F35	21093	331
1666	0x3062	0x8FB0E2	U+4F37	17256	332
1667	0x3063	0x8FB0E3	U+4F39	8376	333
1668	0x3064	0x8FB0E4	U+4F3B	14317	334
1669	0x3065	0x8FB0E5	U+4F3E	17257	335
1670	0x3066	0x8FB0E6	U+4F40	21094	336
1671	0x3067	0x8FB0E7	U+4F42	21095	337
1672	0x3068	0x8FB0E8	U+4F48	16779	338
1673	0x3069	0x8FB0E9	U+4F49	14318	339
1674	0x306A	0x8FB0EA	U+4F4B	21096	340
1675	0x306B	0x8FB0EB	U+4F4C	21097	341
1676	0x306C	0x8FB0EC	U+4F52	21098	342
1677	0x306D	0x8FB0ED	U+4F54	14319	343
1678	0x306E	0x8FB0EE	U+4F56	8377	344
1679	0x306F	0x8FB0EF	U+4F58	17258	345
1680	0x3070	0x8FB0F0	U+4F5F	16780	346
1681	0x3071	0x8FB0F1	U+4F63	21099	347
1682	0x3072	0x8FB0F2	U+4F6A	16781	348
1683	0x3073	0x8FB0F3	U+4F6C	16782	349
1684	0x3074	0x8FB0F4	U+4F6E	21100	350
1685	0x3075	0x8FB0F5	U+4F71	21101	351
1686	0x3076	0x8FB0F6	U+4F77	17260	352
1687	0x3077	0x8FB0F7	U+4F78	17261	353
1688	0x3078	0x8FB0F8	U+4F79	21102	354
1689	0x3079	0x8FB0F9	U+4F7A	14320	355
1690	0x307A	0x8FB0FA	U+4F7D	14321	356
1691	0x307B	0x8FB0FB	U+4F7E	14322	357
1692	0x307C	0x8FB0FC	U+4F81	21103	358
1693	0x307D	0x8FB0FD	U+4F82	17262	359
1694	0x307E	0x8FB0FE	U+4F84	19150	360
1701	0x3121	0x8FB1A1	U+4F85	17263	361
1702	0x3122	0x8FB1A2	U+4F89	21104	362
1703	0x3123	0x8FB1A3	U+4F8A	8379	363
1704	0x3124	0x8FB1A4	U+4F8C	21105	364
1705	0x3125	0x8FB1A5	U+4F8E	21106	365
1706	0x3126	0x8FB1A6	U+4F90	21107	366
1707	0x3127	0x8FB1A7	U+4F92	8378	367
1708	0x3128	0x8FB1A8	U+4F93	21108	368
1709	0x3129	0x8FB1A9	U+4F94	8381	369
1710	0x312A	0x8FB1AA	U+4F97	14323	370
1711	0x312B	0x8FB1AB	U+4F99	21109	371
1712	0x312C	0x8FB1AC	U+4F9A	8380	372
1713	0x312D	0x8FB1AD	U+4F9E	19151	373
1714	0x312E	0x8FB1AE	U+4F9F	21110	374
1715	0x312F	0x8FB1AF	U+4FB2	17265	375
1716	0x3130	0x8FB1B0	U+4FB7	19152	376
1717	0x3131	0x8FB1B1	U+4FB9	21111	377
1718	0x3132	0x8FB1B2	U+4FBB	21112	378
1719	0x3133	0x8FB1B3	U+4FBC	21113	379
1720	0x3134	0x8FB1B4	U+4FBD	21114	380
1721	0x3135	0x8FB1B5	U+4FBE	14324	381
1722	0x3136	0x8FB1B6	U+4FC0	21115	382
1723	0x3137	0x8FB1B7	U+4FC1	21116	383
1724	0x3138	0x8FB1B8	U+4FC5	17266	384
1725	0x3139	0x8FB1B9	U+4FC6	21117	385
1726	0x313A	0x8FB1BA	U+4FC8	21118	386
1727	0x313B	0x8FB1BB	U+4FC9	8364	387
1728	0x313C	0x8FB1BC	U+4FCB	17267	388
1729	0x313D	0x8FB1BD	U+4FCC	21119	389
1730	0x313E	0x8FB1BE	U+4FCD	8382	390
1731	0x313F	0x8FB1BF	U+4FCF	14325	391
1732	0x3140	0x8FB1C0	U+4FD2	17268	392
1733	0x3141	0x8FB1C1	U+4FDC	21120	393
1734	0x3142	0x8FB1C2	U+4FE0	7660	394
1735	0x3143	0x8FB1C3	U+4FE2	21121	395
1736	0x3144	0x8FB1C4	U+4FF0	21122	396
1737	0x3145	0x8FB1C5	U+4FF2	17270	397
1738	0x3146	0x8FB1C6	U+4FFC	21123	398
1739	0x3147	0x8FB1C7	U+4FFD	14326	399
1740	0x3148	0x8FB1C8	U+4FFF	8385	400
1741	0x3149	0x8FB1C9	U+5000	14327	401
1742	0x314A	0x8FB1CA	U+5001	14328	402
1743	0x314B	0x8FB1CB	U+5004	19153	403
1744	0x314C	0x8FB1CC	U+5007	21124	404
1745	0x314D	0x8FB1CD	U+500A	21125	405
1746	0x314E	0x8FB1CE	U+500C	19154	406
1747	0x314F	0x8FB1CF	U+500E	16783	407
1748	0x3150	0x8FB1D0	U+5010	14329	408
1749	0x3151	0x8FB1D1	U+5013	17271	409
1750	0x3152	0x8FB1D2	U+5017	21126	410
1751	0x3153	0x8FB1D3	U+5018	16784	411
1752	0x3154	0x8FB1D4	U+501B	14330	412
1753	0x3155	0x8FB1D5	U+501C	17272	413
1754	0x3156	0x8FB1D6	U+501D	21127	414
1755	0x3157	0x8FB1D7	U+501E	8386	415
1756	0x3158	0x8FB1D8	U+5022	8384	416
1757	0x3159	0x8FB1D9	U+5027	14331	417
1758	0x315A	0x8FB1DA	U+502E	14332	418
1759	0x315B	0x8FB1DB	U+5030	21128	419
1760	0x315C	0x8FB1DC	U+5032	21129	420
1761	0x315D	0x8FB1DD	U+5033	21130	421
1762	0x315E	0x8FB1DE	U+5035	21131	422
1763	0x315F	0x8FB1DF	U+5040	8383	423
1764	0x3160	0x8FB1E0	U+5041	16785	424
1765	0x3161	0x8FB1E1	U+5042	8389	425
1766	0x3162	0x8FB1E2	U+5045	21132	426
1767	0x3163	0x8FB1E3	U+5046	8387	427
1768	0x3164	0x8FB1E4	U+504A	21133	428
1769	0x3165	0x8FB1E5	U+504C	19155	429
1770	0x3166	0x8FB1E6	U+504E	17273	430
1771	0x3167	0x8FB1E7	U+5051	21134	431
1772	0x3168	0x8FB1E8	U+5052	21135	432
1773	0x3169	0x8FB1E9	U+5053	17274	433
1774	0x316A	0x8FB1EA	U+5057	14333	434
1775	0x316B	0x8FB1EB	U+5059	21136	435
1776	0x316C	0x8FB1EC	U+505F	19156	436
1777	0x316D	0x8FB1ED	U+5060	21137	437
1778	0x316E	0x8FB1EE	U+5062	19157	438
1779	0x316F	0x8FB1EF	U+5063	17275	439
1780	0x3170	0x8FB1F0	U+5066	14334	440
1781	0x3171	0x8FB1F1	U+5067	21138	441
1782	0x3172	0x8FB1F2	U+506A	14335	442
1783	0x3173	0x8FB1F3	U+506D	21139	443
1784	0x3174	0x8FB1F4	U+5070	8388	444
1785	0x3175	0x8FB1F5	U+5071	21140	445
1786	0x3176	0x8FB1F6	U+503B	14336	446
1787	0x3177	0x8FB1F7	U+5081	21141	447
1788	0x3178	0x8FB1F8	U+5083	21142	448
1789	0x3179	0x8FB1F9	U+5084	21143	449
1790	0x317A	0x8FB1FA	U+5086	21144	450
1791	0x317B	0x8FB1FB	U+508A	21145	451
1792	0x317C	0x8FB1FC	U+508E	19159	452
1793	0x317D	0x8FB1FD	U+508F	14337	453
1794	0x317E	0x8FB1FE	U+5090	21146	454
1801	0x3221	0x8FB2A1	U+5092	17278	455
1802	0x3222	0x8FB2A2	U+5093	17279	456
1803	0x3223	0x8FB2A3	U+5094	8390	457
1804	0x3224	0x8FB2A4	U+5096	14338	458
1805	0x3225	0x8FB2A5	U+509B	21147	459
1806	0x3226	0x8FB2A6	U+509C	14339	460
1807	0x3227	0x8FB2A7	U+509E	19160	461
1808	0x3228	0x8FB2A8	U+509F	21148	462
1809	0x3229	0x8FB2A9	U+50A0	21149	463
1810	0x322A	0x8FB2AA	U+50A1	21150	464
1811	0x322B	0x8FB2AB	U+50A2	19161	465
1812	0x322C	0x8FB2AC	U+50AA	17281	466
1813	0x322D	0x8FB2AD	U+50AF	21151	467
1814	0x322E	0x8FB2AE	U+50B0	21152	468
1815	0x322F	0x8FB2AF	U+50B9	21153	469
1816	0x3230	0x8FB2B0	U+50BA	17284	470
1817	0x3231	0x8FB2B1	U+50BD	21154	471
1818	0x3232	0x8FB2B2	U+50C0	21155	472
1819	0x3233	0x8FB2B3	U+50C3	19162	473
1820	0x3234	0x8FB2B4	U+50C4	17286	474
1821	0x3235	0x8FB2B5	U+50C7	17287	475
1822	0x3236	0x8FB2B6	U+50CC	14340	476
1823	0x3237	0x8FB2B7	U+50CE	17290	477
1824	0x3238	0x8FB2B8	U+50D0	16787	478
1825	0x3239	0x8FB2B9	U+50D3	21156	479
1826	0x323A	0x8FB2BA	U+50D4	17292	480
1827	0x323B	0x8FB2BB	U+50D8	8392	481
1828	0x323C	0x8FB2BC	U+50DC	21157	482
