# JIS X 0208:1997 Database for Adobe-Japan1-6
# Based on UniJIS2004-UTF{8,16,32}-H CMap Files
# by Ken Lunde (lunde@adobe.com)
# Version January 29, 2007
#
# Adobe-Japan1-6 CIDs in brackets are those that were originally
# encoded in the UniJIS-UCS2-H CMap file, whose use has been
# deprecated for several years.
#
# Adobe-Japan1-6 CIDs in braces are those that represent the
# default glyphs when using the UniJIS-UTF{8,16,32}-H CMap files,
# which are considered JIS90-savvy.
#
KuTen	2022JP	SJIS	EUCJP	Unicode	Adobe-Japan1-6
1-0355	0x2357	0x8276	0xA3D7	U+FF37	812
1-0356	0x2358	0x8277	0xA3D8	U+FF38	813
1-0357	0x2359	0x8278	0xA3D9	U+FF39	814
1-0358	0x235A	0x8279	0xA3DA	U+FF3A	815
1-0365	0x2361	0x8281	0xA3E1	U+FF41	816
1-0366	0x2362	0x8282	0xA3E2	U+FF42	817
1-0367	0x2363	0x8283	0xA3E3	U+FF43	818
1-0368	0x2364	0x8284	0xA3E4	U+FF44	819
1-0369	0x2365	0x8285	0xA3E5	U+FF45	820
1-0370	0x2366	0x8286	0xA3E6	U+FF46	821
1-0371	0x2367	0x8287	0xA3E7	U+FF47	822
1-0372	0x2368	0x8288	0xA3E8	U+FF48	823
1-0373	0x2369	0x8289	0xA3E9	U+FF49	824
1-0374	0x236A	0x828A	0xA3EA	U+FF4A	825
1-0375	0x236B	0x828B	0xA3EB	U+FF4B	826
1-0376	0x236C	0x828C	0xA3EC	U+FF4C	827
1-0377	0x236D	0x828D	0xA3ED	U+FF4D	828
1-0378	0x236E	0x828E	0xA3EE	U+FF4E	829
1-0379	0x236F	0x828F	0xA3EF	U+FF4F	830
1-0380	0x2370	0x8290	0xA3F0	U+FF50	831
1-0381	0x2371	0x8291	0xA3F1	U+FF51	832
1-0382	0x2372	0x8292	0xA3F2	U+FF52	833
1-0383	0x2373	0x8293	0xA3F3	U+FF53	834
1-0384	0x2374	0x8294	0xA3F4	U+FF54	835
1-0385	0x2375	0x8295	0xA3F5	U+FF55	836
1-0386	0x2376	0x8296	0xA3F6	U+FF56	837
1-0387	0x2377	0x8297	0xA3F7	U+FF57	838
1-0388	0x2378	0x8298	0xA3F8	U+FF58	839
1-0389	0x2379	0x8299	0xA3F9	U+FF59	840
1-0390	0x237A	0x829A	0xA3FA	U+FF5A	841
1-0401	0x2421	0x829F	0xA4A1	U+3041	842
1-0402	0x2422	0x82A0	0xA4A2	U+3042	843
1-0403	0x2423	0x82A1	0xA4A3	U+3043	844
1-0404	0x2424	0x82A2	0xA4A4	U+3044	845
1-0405	0x2425	0x82A3	0xA4A5	U+3045	846
1-0406	0x2426	0x82A4	0xA4A6	U+3046	847
1-0407	0x2427	0x82A5	0xA4A7	U+3047	848
1-0408	0x2428	0x82A6	0xA4A8	U+3048	849
1-0409	0x2429	0x82A7	0xA4A9	U+3049	850
1-0410	0x242A	0x82A8	0xA4AA	U+304A	851
1-0411	0x242B	0x82A9	0xA4AB	U+304B	852
1-0412	0x242C	0x82AA	0xA4AC	U+304C	853
1-0413	0x242D	0x82AB	0xA4AD	U+304D	854
1-0414	0x242E	0x82AC	0xA4AE	U+304E	855
1-0415	0x242F	0x82AD	0xA4AF	U+304F	856
1-0416	0x2430	0x82AE	0xA4B0	U+3050	857
1-0417	0x2431	0x82AF	0xA4B1	U+3051	858
1-0418	0x2432	0x82B0	0xA4B2	U+3052	859
1-0419	0x2433	0x82B1	0xA4B3	U+3053	860
1-0420	0x2434	0x82B2	0xA4B4	U+3054	861
1-0421	0x2435	0x82B3	0xA4B5	U+3055	862
1-0422	0x2436	0x82B4	0xA4B6	U+3056	863
1-0423	0x2437	0x82B5	0xA4B7	U+3057	864
1-0424	0x2438	0x82B6	0xA4B8	U+3058	865
1-0425	0x2439	0x82B7	0xA4B9	U+3059	866
1-0426	0x243A	0x82B8	0xA4BA	U+305A	867
1-0427	0x243B	0x82B9	0xA4BB	U+305B	868
1-0428	0x243C	0x82BA	0xA4BC	U+305C	869
1-0429	0x243D	0x82BB	0xA4BD	U+305D	870
1-0430	0x243E	0x82BC	0xA4BE	U+305E	871
1-0431	0x243F	0x82BD	0xA4BF	U+305F	872
1-0432	0x2440	0x82BE	0xA4C0	U+3060	873
1-0433	0x2441	0x82BF	0xA4C1	U+3061	874
1-0434	0x2442	0x82C0	0xA4C2	U+3062	875
1-0435	0x2443	0x82C1	0xA4C3	U+3063	876
1-0436	0x2444	0x82C2	0xA4C4	U+3064	877
1-0437	0x2445	0x82C3	0xA4C5	U+3065	878
1-0438	0x2446	0x82C4	0xA4C6	U+3066	879
1-0439	0x2447	0x82C5	0xA4C7	U+3067	880
1-0440	0x2448	0x82C6	0xA4C8	U+3068	881
1-0441	0x2449	0x82C7	0xA4C9	U+3069	882
1-0442	0x244A	0x82C8	0xA4CA	U+306A	883
1-0443	0x244B	0x82C9	0xA4CB	U+306B	884
1-0444	0x244C	0x82CA	0xA4CC	U+306C	885
1-0445	0x244D	0x82CB	0xA4CD	U+306D	886
1-0446	0x244E	0x82CC	0xA4CE	U+306E	887
1-0447	0x244F	0x82CD	0xA4CF	U+306F	888
1-0448	0x2450	0x82CE	0xA4D0	U+3070	889
1-0449	0x2451	0x82CF	0xA4D1	U+3071	890
1-0450	0x2452	0x82D0	0xA4D2	U+3072	891
1-0451	0x2453	0x82D1	0xA4D3	U+3073	892
1-0452	0x2454	0x82D2	0xA4D4	U+3074	893
1-0453	0x2455	0x82D3	0xA4D5	U+3075	894
1-0454	0x2456	0x82D4	0xA4D6	U+3076	895
1-0455	0x2457	0x82D5	0xA4D7	U+3077	896
1-0456	0x2458	0x82D6	0xA4D8	U+3078	897
1-0457	0x2459	0x82D7	0xA4D9	U+3079	898
1-0458	0x245A	0x82D8	0xA4DA	U+307A	899
1-0459	0x245B	0x82D9	0xA4DB	U+307B	900
1-0460	0x245C	0x82DA	0xA4DC	U+307C	901
1-0461	0x245D	0x82DB	0xA4DD	U+307D	902
1-0462	0x245E	0x82DC	0xA4DE	U+307E	903
1-0463	0x245F	0x82DD	0xA4DF	U+307F	904
1-0464	0x2460	0x82DE	0xA4E0	U+3080	905
1-0465	0x2461	0x82DF	0xA4E1	U+3081	906
1-0466	0x2462	0x82E0	0xA4E2	U+3082	907
1-0467	0x2463	0x82E1	0xA4E3	U+3083	908
1-0468	0x2464	0x82E2	0xA4E4	U+3084	909
1-0469	0x2465	0x82E3	0xA4E5	U+3085	910
1-0470	0x2466	0x82E4	0xA4E6	U+3086	911
1-0471	0x2467	0x82E5	0xA4E7	U+3087	912
1-0472	0x2468	0x82E6	0xA4E8	U+3088	913
1-0473	0x2469	0x82E7	0xA4E9	U+3089	914
1-0474	0x246A	0x82E8	0xA4EA	U+308A	915
1-0475	0x246B	0x82E9	0xA4EB	U+308B	916
1-0476	0x246C	0x82EA	0xA4EC	U+308C	917
1-0477	0x246D	0x82EB	0xA4ED	U+308D	918
1-0478	0x246E	0x82EC	0xA4EE	U+308E	919
1-0479	0x246F	0x82ED	0xA4EF	U+308F	920
1-0480	0x2470	0x82EE	0xA4F0	U+3090	921
1-0481	0x2471	0x82EF	0xA4F1	U+3091	922
1-0482	0x2472	0x82F0	0xA4F2	U+3092	923
1-0483	0x2473	0x82F1	0xA4F3	U+3093	924
1-0501	0x2521	0x8340	0xA5A1	U+30A1	925
1-0502	0x2522	0x8341	0xA5A2	U+30A2	926
1-0503	0x2523	0x8342	0xA5A3	U+30A3	927
1-0504	0x2524	0x8343	0xA5A4	U+30A4	928
1-0505	0x2525	0x8344	0xA5A5	U+30A5	929
1-0506	0x2526	0x8345	0xA5A6	U+30A6	930
1-0507	0x2527	0x8346	0xA5A7	U+30A7	931
1-0508	0x2528	0x8347	0xA5A8	U+30A8	932
1-0509	0x2529	0x8348	0xA5A9	U+30A9	933
1-0510	0x252A	0x8349	0xA5AA	U+30AA	934
1-0511	0x252B	0x834A	0xA5AB	U+30AB	935
1-0512	0x252C	0x834B	0xA5AC	U+30AC	936
1-0513	0x252D	0x834C	0xA5AD	U+30AD	937
1-0514	0x252E	0x834D	0xA5AE	U+30AE	938
1-0515	0x252F	0x834E	0xA5AF	U+30AF	939
1-0516	0x2530	0x834F	0xA5B0	U+30B0	940
1-0517	0x2531	0x8350	0xA5B1	U+30B1	941
1-0518	0x2532	0x8351	0xA5B2	U+30B2	942
1-0519	0x2533	0x8352	0xA5B3	U+30B3	943
1-0520	0x2534	0x8353	0xA5B4	U+30B4	944
1-0521	0x2535	0x8354	0xA5B5	U+30B5	945
1-0522	0x2536	0x8355	0xA5B6	U+30B6	946
1-0523	0x2537	0x8356	0xA5B7	U+30B7	947
1-0524	0x2538	0x8357	0xA5B8	U+30B8	948
1-0525	0x2539	0x8358	0xA5B9	U+30B9	949
1-0526	0x253A	0x8359	0xA5BA	U+30BA	950
1-0527	0x253B	0x835A	0xA5BB	U+30BB	951
1-0528	0x253C	0x835B	0xA5BC	U+30BC	952
1-0529	0x253D	0x835C	0xA5BD	U+30BD	953
1-0530	0x253E	0x835D	0xA5BE	U+30BE	954
1-0531	0x253F	0x835E	0xA5BF	U+30BF	955
1-0532	0x2540	0x835F	0xA5C0	U+30C0	956
1-0533	0x2541	0x8360	0xA5C1	U+30C1	957
1-0534	0x2542	0x8361	0xA5C2	U+30C2	958
1-0535	0x2543	0x8362	0xA5C3	U+30C3	959
1-0536	0x2544	0x8363	0xA5C4	U+30C4	960
1-0537	0x2545	0x8364	0xA5C5	U+30C5	961
1-0538	0x2546	0x8365	0xA5C6	U+30C6	962
1-0539	0x2547	0x8366	0xA5C7	U+30C7	963
1-0540	0x2548	0x8367	0xA5C8	U+30C8	964
1-0541	0x2549	0x8368	0xA5C9	U+30C9	965
1-0542	0x254A	0x8369	0xA5CA	U+30CA	966
1-0543	0x254B	0x836A	0xA5CB	U+30CB	967
1-0544	0x254C	0x836B	0xA5CC	U+30CC	968
1-0545	0x254D	0x836C	0xA5CD	U+30CD	969
1-0546	0x254E	0x836D	0xA5CE	U+30CE	970
1-0547	0x254F	0x836E	0xA5CF	U+30CF	971
1-0548	0x2550	0x836F	0xA5D0	U+30D0	972
1-0549	0x2551	0x8370	0xA5D1	U+30D1	973
1-0550	0x2552	0x8371	0xA5D2	U+30D2	974
1-0551	0x2553	0x8372	0xA5D3	U+30D3	975
1-0552	0x2554	0x8373	0xA5D4	U+30D4	976
1-0553	0x2555	0x8374	0xA5D5	U+30D5	977
1-0554	0x2556	0x8375	0xA5D6	U+30D6	978
1-0555	0x2557	0x8376	0xA5D7	U+30D7	979
1-0556	0x2558	0x8377	0xA5D8	U+30D8	980
1-0557	0x2559	0x8378	0xA5D9	U+30D9	981
1-0558	0x255A	0x8379	0xA5DA	U+30DA	982
1-0559	0x255B	0x837A	0xA5DB	U+30DB	983
1-0560	0x255C	0x837B	0xA5DC	U+30DC	984
1-0561	0x255D	0x837C	0xA5DD	U+30DD	985
1-0562	0x255E	0x837D	0xA5DE	U+30DE	986
1-0563	0x255F	0x837E	0xA5DF	U+30DF	987
1-0564	0x2560	0x8380	0xA5E0	U+30E0	988
1-0565	0x2561	0x8381	0xA5E1	U+30E1	989
1-0566	0x2562	0x8382	0xA5E2	U+30E2	990
1-0567	0x2563	0x8383	0xA5E3	U+30E3	991
1-0568	0x2564	0x8384	0xA5E4	U+30E4	992
1-0569	0x2565	0x8385	0xA5E5	U+30E5	993
1-0570	0x2566	0x8386	0xA5E6	U+30E6	994
1-0571	0x2567	0x8387	0xA5E7	U+30E7	995
1-0572	0x2568	0x8388	0xA5E8	U+30E8	996
1-0573	0x2569	0x8389	0xA5E9	U+30E9	997
1-0574	0x256A	0x838A	0xA5EA	U+30EA	998
1-0575	0x256B	0x838B	0xA5EB	U+30EB	999
1-0576	0x256C	0x838C	0xA5EC	U+30EC	1000
1-0577	0x256D	0x838D	0xA5ED	U+30ED	1001
1-0578	0x256E	0x838E	0xA5EE	U+30EE	1002
1-0579	0x256F	0x838F	0xA5EF	U+30EF	1003
1-0580	0x2570	0x8390	0xA5F0	U+30F0	1004
1-0581	0x2571	0x8391	0xA5F1	U+30F1	1005
1-0582	0x2572	0x8392	0xA5F2	U+30F2	1006
1-0583	0x2573	0x8393	0xA5F3	U+30F3	1007
1-0584	0x2574	0x8394	0xA5F4	U+30F4	1008
1-0585	0x2575	0x8395	0xA5F5	U+30F5	1009
1-0586	0x2576	0x8396	0xA5F6	U+30F6	1010
1-0601	0x2621	0x839F	0xA6A1	U+0391	1011
1-0602	0x2622	0x83A0	0xA6A2	U+0392	1012
1-0603	0x2623	0x83A1	0xA6A3	U+0393	1013
1-0604	0x2624	0x83A2	0xA6A4	U+0394	1014
1-0605	0x2625	0x83A3	0xA6A5	U+0395	1015
1-0606	0x2626	0x83A4	0xA6A6	U+0396	1016
1-0607	0x2627	0x83A5	0xA6A7	U+0397	1017
1-0608	0x2628	0x83A6	0xA6A8	U+0398	1018
1-0609	0x2629	0x83A7	0xA6A9	U+0399	1019
1-0610	0x262A	0x83A8	0xA6AA	U+039A	1020
1-0611	0x262B	0x83A9	0xA6AB	U+039B	1021
1-0612	0x262C	0x83AA	0xA6AC	U+039C	1022
1-0613	0x262D	0x83AB	0xA6AD	U+039D	1023
1-0614	0x262E	0x83AC	0xA6AE	U+039E	1024
1-0615	0x262F	0x83AD	0xA6AF	U+039F	1025
1-0616	0x2630	0x83AE	0xA6B0	U+03A0	1026
1-0617	0x2631	0x83AF	0xA6B1	U+03A1	1027
1-0618	0x2632	0x83B0	0xA6B2	U+03A3	1028
1-0619	0x2633	0x83B1	0xA6B3	U+03A4	1029
1-0620	0x2634	0x83B2	0xA6B4	U+03A5	1030
1-0621	0x2635	0x83B3	0xA6B5	U+03A6	1031
1-0622	0x2636	0x83B4	0xA6B6	U+03A7	1032
1-0623	0x2637	0x83B5	0xA6B7	U+03A8	1033
1-0624	0x2638	0x83B6	0xA6B8	U+03A9	1034
1-0633	0x2641	0x83BF	0xA6C1	U+03B1	1035
1-0634	0x2642	0x83C0	0xA6C2	U+03B2	1036
1-0635	0x2643	0x83C1	0xA6C3	U+03B3	1037
1-0636	0x2644	0x83C2	0xA6C4	U+03B4	1038
1-0637	0x2645	0x83C3	0xA6C5	U+03B5	1039
1-0638	0x2646	0x83C4	0xA6C6	U+03B6	1040
1-0639	0x2647	0x83C5	0xA6C7	U+03B7	1041
1-0640	0x2648	0x83C6	0xA6C8	U+03B8	1042
1-0641	0x2649	0x83C7	0xA6C9	U+03B9	1043
1-0642	0x264A	0x83C8	0xA6CA	U+03BA	1044
1-0643	0x264B	0x83C9	0xA6CB	U+03BB	1045
1-0644	0x264C	0x83CA	0xA6CC	U+03BC	1046
1-0645	0x264D	0x83CB	0xA6CD	U+03BD	1047
1-0646	0x264E	0x83CC	0xA6CE	U+03BE	1048
1-0647	0x264F	0x83CD	0xA6CF	U+03BF	1049
1-0648	0x2650	0x83CE	0xA6D0	U+03C0	1050
1-0649	0x2651	0x83CF	0xA6D1	U+03C1	1051
1-0650	0x2652	0x83D0	0xA6D2	U+03C3	1052
1-0651	0x2653	0x83D1	0xA6D3	U+03C4	1053
1-0652	0x2654	0x83D2	0xA6D4	U+03C5	1054
1-0653	0x2655	0x83D3	0xA6D5	U+03C6	1055
1-0654	0x2656	0x83D4	0xA6D6	U+03C7	1056
1-0655	0x2657	0x83D5	0xA6D7	U+03C8	1057
1-0656	0x2658	0x83D6	0xA6D8	U+03C9	1058
1-0701	0x2721	0x8440	0xA7A1	U+0410	1059
1-0702	0x2722	0x8441	0xA7A2	U+0411	1060
1-0703	0x2723	0x8442	0xA7A3	U+0412	1061
1-0704	0x2724	0x8443	0xA7A4	U+0413	1062
1-0705	0x2725	0x8444	0xA7A5	U+0414	1063
1-0706	0x2726	0x8445	0xA7A6	U+0415	1064
1-0707	0x2727	0x8446	0xA7A7	U+0401	1065
1-0708	0x2728	0x8447	0xA7A8	U+0416	1066
1-0709	0x2729	0x8448	0xA7A9	U+0417	1067
1-0710	0x272A	0x8449	0xA7AA	U+0418	1068
1-0711	0x272B	0x844A	0xA7AB	U+0419	1069
1-0712	0x272C	0x844B	0xA7AC	U+041A	1070
1-0713	0x272D	0x844C	0xA7AD	U+041B	1071
1-0714	0x272E	0x844D	0xA7AE	U+041C	1072
1-0715	0x272F	0x844E	0xA7AF	U+041D	1073
1-0716	0x2730	0x844F	0xA7B0	U+041E	1074
1-0717	0x2731	0x8450	0xA7B1	U+041F	1075
1-0718	0x2732	0x8451	0xA7B2	U+0420	1076
