# JIS X 0213:2004 Database for Adobe-Japan1-6
# Based on UniJIS-UTF{8,16,32}-H CMap Files
# by Ken Lunde (lunde@adobe.com)
# Version June 6, 2007
#
# Adobe-Japan1-6 CIDs in parentheses are those that are encoded in the
# "UniJISX0213-UTF32-H" CMap file, which is based on the Mac OS X
# "Hiragino" fonts, and are generally for proportional symbols.
#
# Adobe-Japan1-6 CIDs in braces are those that represent the
# prototypical glyphs from the JIS X 0213:2004 standard, and are
# specific to Adobe-Japan1-6 (that is, they are above CID=20316). They
# are made accessible through the OpenType 'jp04' GSUB feature.
#
# Adobe-Japan1-6 CIDs in brackets are those that represent the
# combination of two CIDs that represent the Unicode
# representation, and are thus not directly encoded according to
# Unicode. The Unicode representation has two values, separated 
# by a colon. They are made accessible through the OpenType 'ccmp'
# GSUB feature.
#
# The ten characters added for JIS X 0213:2004 are at the very end of
# the file, for easy identification.
#
KuTen	2022JP	SJIS	EUCJP	Unicode	Adobe-Japan1-6
1-0489	0x2479	0x82F7	0xA4F9	U+304F:U+309A	856:16327 [16211]
1-0490	0x247A	0x82F8	0xA4FA	U+3051:U+309A	858:16327 [16212]
1-0491	0x247B	0x82F9	0xA4FB	U+3053:U+309A	860:16327 [16213]
1-0587	0x2577	0x8397	0xA5F7	U+30AB:U+309A	935:16327 [16214]
1-0588	0x2578	0x8398	0xA5F8	U+30AD:U+309A	937:16327 [16215]
1-0589	0x2579	0x8399	0xA5F9	U+30AF:U+309A	939:16327 [16216]
1-0590	0x257A	0x839A	0xA5FA	U+30B1:U+309A	941:16327 [16217]
1-0591	0x257B	0x839B	0xA5FB	U+30B3:U+309A	943:16327 [16218]
1-0592	0x257C	0x839C	0xA5FC	U+30BB:U+309A	951:16327 [16219]
1-0593	0x257D	0x839D	0xA5FD	U+30C4:U+309A	960:16327 [16220]
1-0594	0x257E	0x839E	0xA5FE	U+30C8:U+309A	964:16327 [16221]
1-0625	0x2639	0x83B7	0xA6B9	U+2664	8018
1-0626	0x263A	0x83B8	0xA6BA	U+2660	8211
1-0627	0x263B	0x83B9	0xA6BB	U+2662	8019
1-0628	0x263C	0x83BA	0xA6BC	U+2666	8214
1-0629	0x263D	0x83BB	0xA6BD	U+2661	8017
1-0630	0x263E	0x83BC	0xA6BE	U+2665	8212
1-0631	0x263F	0x83BD	0xA6BF	U+2667	8016
1-0632	0x2640	0x83BE	0xA6C0	U+2663	8213
1-0657	0x2659	0x83D7	0xA6D9	U+03C2	16222
1-0658	0x265A	0x83D8	0xA6DA	U+24F5	16223
1-0659	0x265B	0x83D9	0xA6DB	U+24F6	16224
1-0660	0x265C	0x83DA	0xA6DC	U+24F7	16225
1-0661	0x265D	0x83DB	0xA6DD	U+24F8	16226
1-0662	0x265E	0x83DC	0xA6DE	U+24F9	16227
1-0663	0x265F	0x83DD	0xA6DF	U+24FA	16228
1-0664	0x2660	0x83DE	0xA6E0	U+24FB	16229
1-0665	0x2661	0x83DF	0xA6E1	U+24FC	16230
1-0666	0x2662	0x83E0	0xA6E2	U+24FD	16231
1-0667	0x2663	0x83E1	0xA6E3	U+24FE	16232
1-0668	0x2664	0x83E2	0xA6E4	U+2616	16233
1-0669	0x2665	0x83E3	0xA6E5	U+2617	16234
1-0670	0x2666	0x83E4	0xA6E6	U+3020	8058
1-0671	0x2667	0x83E5	0xA6E7	U+260E	8056
1-0672	0x2668	0x83E6	0xA6E8	U+2600	8215
1-0673	0x2669	0x83E7	0xA6E9	U+2601	8216
1-0674	0x266A	0x83E8	0xA6EA	U+2602	8217
1-0675	0x266B	0x83E9	0xA6EB	U+2603	8218
1-0676	0x266C	0x83EA	0xA6EC	U+2668	12098
1-0677	0x266D	0x83EB	0xA6ED	U+25B1	16235
1-0678	0x266E	0x83EC	0xA6EE	U+31F0	16236
1-0679	0x266F	0x83ED	0xA6EF	U+31F1	16237
1-0680	0x2670	0x83EE	0xA6F0	U+31F2	16238
1-0681	0x2671	0x83EF	0xA6F1	U+31F3	16239
1-0682	0x2672	0x83F0	0xA6F2	U+31F4	16240
1-0683	0x2673	0x83F1	0xA6F3	U+31F5	16241
1-0684	0x2674	0x83F2	0xA6F4	U+31F6	16242
1-0685	0x2675	0x83F3	0xA6F5	U+31F7	16243
1-0686	0x2676	0x83F4	0xA6F6	U+31F8	16244
1-0687	0x2677	0x83F5	0xA6F7	U+31F9	16245
1-0688	0x2678	0x83F6	0xA6F8	U+31F7:U+309A	16243:16327 [16246]
1-0689	0x2679	0x83F7	0xA6F9	U+31FA	16247
1-0690	0x267A	0x83F8	0xA6FA	U+31FB	16248
1-0691	0x267B	0x83F9	0xA6FB	U+31FC	16249
1-0692	0x267C	0x83FA	0xA6FC	U+31FD	16250
1-0693	0x267D	0x83FB	0xA6FD	U+31FE	16251
1-0694	0x267E	0x83FC	0xA6FE	U+31FF	16252
1-0734	0x2742	0x8461	0xA7C2	U+23BE	16253
1-0735	0x2743	0x8462	0xA7C3	U+23BF	16254
1-0736	0x2744	0x8463	0xA7C4	U+23C0	16255
1-0737	0x2745	0x8464	0xA7C5	U+23C1	16256
1-0738	0x2746	0x8465	0xA7C6	U+23C2	16257
1-0739	0x2747	0x8466	0xA7C7	U+23C3	16258
1-0740	0x2748	0x8467	0xA7C8	U+23C4	16259
1-0741	0x2749	0x8468	0xA7C9	U+23C5	16260
1-0742	0x274A	0x8469	0xA7CA	U+23C6	16261
1-0743	0x274B	0x846A	0xA7CB	U+23C7	16262
1-0744	0x274C	0x846B	0xA7CC	U+23C8	16263
1-0745	0x274D	0x846C	0xA7CD	U+23C9	16264
1-0746	0x274E	0x846D	0xA7CE	U+23CA	16265
1-0747	0x274F	0x846E	0xA7CF	U+23CB	16266
1-0748	0x2750	0x846F	0xA7D0	U+23CC	16267
1-0782	0x2772	0x8492	0xA7F2	U+30F7	8313
1-0783	0x2773	0x8493	0xA7F3	U+30F8	8314
1-0784	0x2774	0x8494	0xA7F4	U+30F9	8315
1-0785	0x2775	0x8495	0xA7F5	U+30FA	8316
1-0786	0x2776	0x8496	0xA7F6	U+22DA	15725
1-0787	0x2777	0x8497	0xA7F7	U+22DB	15726
1-0788	0x2778	0x8498	0xA7F8	U+2153	9375
1-0789	0x2779	0x8499	0xA7F9	U+2154	9376
1-0790	0x277A	0x849A	0xA7FA	U+2155	15727
1-0791	0x277B	0x849B	0xA7FB	U+2713	16270
1-0792	0x277C	0x849C	0xA7FC	U+2318	15728
1-0793	0x277D	0x849D	0xA7FD	U+2423	16272
1-0794	0x277E	0x849E	0xA7FE	U+23CE	16273
1-0833	0x2841	0x84BF	0xA8C1	U+3251	8091
1-0834	0x2842	0x84C0	0xA8C2	U+3252	8102
1-0835	0x2843	0x84C1	0xA8C3	U+3253	8103
1-0836	0x2844	0x84C2	0xA8C4	U+3254	8104
1-0837	0x2845	0x84C3	0xA8C5	U+3255	8105
1-0838	0x2846	0x84C4	0xA8C6	U+3256	8106
1-0839	0x2847	0x84C5	0xA8C7	U+3257	8107
1-0840	0x2848	0x84C6	0xA8C8	U+3258	8108
1-0841	0x2849	0x84C7	0xA8C9	U+3259	8109
1-0842	0x284A	0x84C8	0xA8CA	U+325A	8110
1-0843	0x284B	0x84C9	0xA8CB	U+325B	8111
1-0844	0x284C	0x84CA	0xA8CC	U+325C	10244
1-0845	0x284D	0x84CB	0xA8CD	U+325D	10245
1-0846	0x284E	0x84CC	0xA8CE	U+325E	10246
1-0847	0x284F	0x84CD	0xA8CF	U+325F	10247
1-0848	0x2850	0x84CE	0xA8D0	U+32B1	10248
1-0849	0x2851	0x84CF	0xA8D1	U+32B2	10249
1-0850	0x2852	0x84D0	0xA8D2	U+32B3	10250
1-0851	0x2853	0x84D1	0xA8D3	U+32B4	10251
1-0852	0x2854	0x84D2	0xA8D4	U+32B5	10252
1-0853	0x2855	0x84D3	0xA8D5	U+32B6	10253
1-0854	0x2856	0x84D4	0xA8D6	U+32B7	10254
1-0855	0x2857	0x84D5	0xA8D7	U+32B8	10255
1-0856	0x2858	0x84D6	0xA8D8	U+32B9	10256
1-0857	0x2859	0x84D7	0xA8D9	U+32BA	10257
1-0858	0x285A	0x84D8	0xA8DA	U+32BB	10258
1-0859	0x285B	0x84D9	0xA8DB	U+32BC	10259
1-0860	0x285C	0x84DA	0xA8DC	U+32BD	10260
1-0861	0x285D	0x84DB	0xA8DD	U+32BE	10261
1-0862	0x285E	0x84DC	0xA8DE	U+32BF	10262
1-0871	0x2867	0x84E5	0xA8E7	U+25D0	16274
1-0872	0x2868	0x84E6	0xA8E8	U+25D1	16275
1-0873	0x2869	0x84E7	0xA8E9	U+25D2	16276
1-0874	0x286A	0x84E8	0xA8EA	U+25D3	16277
1-0875	0x286B	0x84E9	0xA8EB	U+203C	12111
1-0876	0x286C	0x84EA	0xA8EC	U+2047	16278
1-0877	0x286D	0x84EB	0xA8ED	U+2048	16279
1-0878	0x286E	0x84EC	0xA8EE	U+2049	12112
1-0879	0x286F	0x84ED	0xA8EF	U+01CD	9394
1-0880	0x2870	0x84EE	0xA8F0	U+01CE	9406
1-0881	0x2871	0x84EF	0xA8F1	U+01D0	9410
1-0882	0x2872	0x84F0	0xA8F2	U+1E3E	15729
1-0883	0x2873	0x84F1	0xA8F3	U+1E3F	15730
1-0884	0x2874	0x84F2	0xA8F4	U+01F8	15731
1-0885	0x2875	0x84F3	0xA8F5	U+01F9	15732
1-0886	0x2876	0x84F4	0xA8F6	U+01D1	9401
1-0887	0x2877	0x84F5	0xA8F7	U+01D2	9413
1-0888	0x2878	0x84F6	0xA8F8	U+01D4	9415
1-0889	0x2879	0x84F7	0xA8F9	U+01D6	15733
1-0890	0x287A	0x84F8	0xA8FA	U+01D8	15734
1-0891	0x287B	0x84F9	0xA8FB	U+01DA	15735
1-0892	0x287C	0x84FA	0xA8FC	U+01DC	15736
1-0901	0x2921	0x8540	0xA9A1	U+20AC	9354
1-0902	0x2922	0x8541	0xA9A2	U+00A0	1
1-0903	0x2923	0x8542	0xA9A3	U+00A1	101
1-0904	0x2924	0x8543	0xA9A4	U+00A4	107
1-0905	0x2925	0x8544	0xA9A5	U+00A6	93
1-0906	0x2926	0x8545	0xA9A6	U+00A9	152
1-0907	0x2927	0x8546	0xA9A7	U+00AA	140
1-0908	0x2928	0x8547	0xA9A8	U+00AB	109
1-0909	0x2929	0x8548	0xA9A9	U+00AD	151
1-0910	0x292A	0x8549	0xA9AA	U+00AE	154
1-0911	0x292B	0x854A	0xA9AB	U+00AF	129
1-0912	0x292C	0x854B	0xA9AC	U+00B2	157
1-0913	0x292D	0x854C	0xA9AD	U+00B3	158
1-0914	0x292E	0x854D	0xA9AE	U+00B7	117
1-0915	0x292F	0x854E	0xA9AF	U+00B8	134
1-0916	0x2930	0x854F	0xA9B0	U+00B9	160
1-0917	0x2931	0x8550	0xA9B1	U+00BA	144
1-0918	0x2932	0x8551	0xA9B2	U+00BB	123
1-0919	0x2933	0x8552	0xA9B3	U+00BC	161
1-0920	0x2934	0x8553	0xA9B4	U+00BD	162
1-0921	0x2935	0x8554	0xA9B5	U+00BE	163
1-0922	0x2936	0x8555	0xA9B6	U+00BF	126
1-0923	0x2937	0x8556	0xA9B7	U+00C0	164
1-0924	0x2938	0x8557	0xA9B8	U+00C1	165
1-0925	0x2939	0x8558	0xA9B9	U+00C2	166
1-0926	0x293A	0x8559	0xA9BA	U+00C3	167
1-0927	0x293B	0x855A	0xA9BB	U+00C4	168
1-0928	0x293C	0x855B	0xA9BC	U+00C5	169
1-0929	0x293D	0x855C	0xA9BD	U+00C6	139
1-0930	0x293E	0x855D	0xA9BE	U+00C7	170
1-0931	0x293F	0x855E	0xA9BF	U+00C8	171
1-0932	0x2940	0x855F	0xA9C0	U+00C9	172
1-0933	0x2941	0x8560	0xA9C1	U+00CA	173
1-0934	0x2942	0x8561	0xA9C2	U+00CB	174
1-0935	0x2943	0x8562	0xA9C3	U+00CC	175
1-0936	0x2944	0x8563	0xA9C4	U+00CD	176
1-0937	0x2945	0x8564	0xA9C5	U+00CE	177
1-0938	0x2946	0x8565	0xA9C6	U+00CF	178
1-0939	0x2947	0x8566	0xA9C7	U+00D0	179
1-0940	0x2948	0x8567	0xA9C8	U+00D1	180
1-0941	0x2949	0x8568	0xA9C9	U+00D2	181
1-0942	0x294A	0x8569	0xA9CA	U+00D3	182
1-0943	0x294B	0x856A	0xA9CB	U+00D4	183
1-0944	0x294C	0x856B	0xA9CC	U+00D5	184
1-0945	0x294D	0x856C	0xA9CD	U+00D6	185
1-0946	0x294E	0x856D	0xA9CE	U+00D8	142
1-0947	0x294F	0x856E	0xA9CF	U+00D9	187
1-0948	0x2950	0x856F	0xA9D0	U+00DA	188
1-0949	0x2951	0x8570	0xA9D1	U+00DB	189
1-0950	0x2952	0x8571	0xA9D2	U+00DC	190
1-0951	0x2953	0x8572	0xA9D3	U+00DD	191
1-0952	0x2954	0x8573	0xA9D4	U+00DE	192
1-0953	0x2955	0x8574	0xA9D5	U+00DF	150
1-0954	0x2956	0x8575	0xA9D6	U+00E0	193
1-0955	0x2957	0x8576	0xA9D7	U+00E1	194
1-0956	0x2958	0x8577	0xA9D8	U+00E2	195
1-0957	0x2959	0x8578	0xA9D9	U+00E3	196
1-0958	0x295A	0x8579	0xA9DA	U+00E4	197
1-0959	0x295B	0x857A	0xA9DB	U+00E5	198
1-0960	0x295C	0x857B	0xA9DC	U+00E6	145
1-0961	0x295D	0x857C	0xA9DD	U+00E7	199
1-0962	0x295E	0x857D	0xA9DE	U+00E8	200
1-0963	0x295F	0x857E	0xA9DF	U+00E9	201
1-0964	0x2960	0x8580	0xA9E0	U+00EA	202
1-0965	0x2961	0x8581	0xA9E1	U+00EB	203
1-0966	0x2962	0x8582	0xA9E2	U+00EC	204
1-0967	0x2963	0x8583	0xA9E3	U+00ED	205
1-0968	0x2964	0x8584	0xA9E4	U+00EE	206
1-0969	0x2965	0x8585	0xA9E5	U+00EF	207
1-0970	0x2966	0x8586	0xA9E6	U+00F0	208
1-0971	0x2967	0x8587	0xA9E7	U+00F1	209
1-0972	0x2968	0x8588	0xA9E8	U+00F2	210
1-0973	0x2969	0x8589	0xA9E9	U+00F3	211
1-0974	0x296A	0x858A	0xA9EA	U+00F4	212
1-0975	0x296B	0x858B	0xA9EB	U+00F5	213
1-0976	0x296C	0x858C	0xA9EC	U+00F6	214
1-0977	0x296D	0x858D	0xA9ED	U+00F8	148
1-0978	0x296E	0x858E	0xA9EE	U+00F9	216
1-0979	0x296F	0x858F	0xA9EF	U+00FA	217
1-0980	0x2970	0x8590	0xA9F0	U+00FB	218
1-0981	0x2971	0x8591	0xA9F1	U+00FC	219
1-0982	0x2972	0x8592	0xA9F2	U+00FD	220
1-0983	0x2973	0x8593	0xA9F3	U+00FE	221
1-0984	0x2974	0x8594	0xA9F4	U+00FF	222
1-0985	0x2975	0x8595	0xA9F5	U+0100	9366
1-0986	0x2976	0x8596	0xA9F6	U+012A	9367
1-0987	0x2977	0x8597	0xA9F7	U+016A	9368
1-0988	0x2978	0x8598	0xA9F8	U+0112	9369
1-0989	0x2979	0x8599	0xA9F9	U+014C	9370
1-0990	0x297A	0x859A	0xA9FA	U+0101	9361
1-0991	0x297B	0x859B	0xA9FB	U+012B	9362
1-0992	0x297C	0x859C	0xA9FC	U+016B	9363
1-0993	0x297D	0x859D	0xA9FD	U+0113	9364
1-0994	0x297E	0x859E	0xA9FE	U+014D	9365
1-1001	0x2A21	0x859F	0xAAA1	U+0104	15737
1-1002	0x2A22	0x85A0	0xAAA2	U+02D8	15738
1-1003	0x2A23	0x85A1	0xAAA3	U+0141	141
1-1004	0x2A24	0x85A2	0xAAA4	U+013D	15739
1-1005	0x2A25	0x85A3	0xAAA5	U+015A	15740
1-1006	0x2A26	0x85A4	0xAAA6	U+0160	223
1-1007	0x2A27	0x85A5	0xAAA7	U+015E	15741
1-1008	0x2A28	0x85A6	0xAAA8	U+0164	15742
1-1009	0x2A29	0x85A7	0xAAA9	U+0179	15743
1-1010	0x2A2A	0x85A8	0xAAAA	U+017D	225
1-1011	0x2A2B	0x85A9	0xAAAB	U+017B	15744
1-1012	0x2A2C	0x85AA	0xAAAC	U+0105	15745
1-1013	0x2A2D	0x85AB	0xAAAD	U+02DB	15746
1-1014	0x2A2E	0x85AC	0xAAAE	U+0142	147
1-1015	0x2A2F	0x85AD	0xAAAF	U+013E	15747
1-1016	0x2A30	0x85AE	0xAAB0	U+015B	15748
1-1017	0x2A31	0x85AF	0xAAB1	U+02C7	15749
1-1018	0x2A32	0x85B0	0xAAB2	U+0161	227
1-1019	0x2A33	0x85B1	0xAAB3	U+015F	15750
1-1020	0x2A34	0x85B2	0xAAB4	U+0165	15751
1-1021	0x2A35	0x85B3	0xAAB5	U+017A	15752
1-1022	0x2A36	0x85B4	0xAAB6	U+02DD	15753
1-1023	0x2A37	0x85B5	0xAAB7	U+017E	229
1-1024	0x2A38	0x85B6	0xAAB8	U+017C	15754
1-1025	0x2A39	0x85B7	0xAAB9	U+0154	15755
1-1026	0x2A3A	0x85B8	0xAABA	U+0102	15756
1-1027	0x2A3B	0x85B9	0xAABB	U+0139	15757
1-1028	0x2A3C	0x85BA	0xAABC	U+0106	15758
1-1029	0x2A3D	0x85BB	0xAABD	U+010C	15759
1-1030	0x2A3E	0x85BC	0xAABE	U+0118	15760
1-1031	0x2A3F	0x85BD	0xAABF	U+011A	9395
1-1032	0x2A40	0x85BE	0xAAC0	U+010E	15761
1-1033	0x2A41	0x85BF	0xAAC1	U+0143	15762
1-1034	0x2A42	0x85C0	0xAAC2	U+0147	15763
1-1035	0x2A43	0x85C1	0xAAC3	U+0150	15764
1-1036	0x2A44	0x85C2	0xAAC4	U+0158	15765
1-1037	0x2A45	0x85C3	0xAAC5	U+016E	9404
1-1038	0x2A46	0x85C4	0xAAC6	U+0170	15766
1-1039	0x2A47	0x85C5	0xAAC7	U+0162	15767
1-1040	0x2A48	0x85C6	0xAAC8	U+0155	15768
1-1041	0x2A49	0x85C7	0xAAC9	U+0103	15769
1-1042	0x2A4A	0x85C8	0xAACA	U+013A	15770
1-1043	0x2A4B	0x85C9	0xAACB	U+0107	15771
1-1044	0x2A4C	0x85CA	0xAACC	U+010D	15772
1-1045	0x2A4D	0x85CB	0xAACD	U+0119	15773
1-1046	0x2A4E	0x85CC	0xAACE	U+011B	9407
1-1047	0x2A4F	0x85CD	0xAACF	U+010F	15774
1-1048	0x2A50	0x85CE	0xAAD0	U+0111	15775
1-1049	0x2A51	0x85CF	0xAAD1	U+0144	15776
1-1050	0x2A52	0x85D0	0xAAD2	U+0148	15777
1-1051	0x2A53	0x85D1	0xAAD3	U+0151	15778
1-1052	0x2A54	0x85D2	0xAAD4	U+0159	15779
1-1053	0x2A55	0x85D3	0xAAD5	U+016F	9416
1-1054	0x2A56	0x85D4	0xAAD6	U+0171	15780
1-1055	0x2A57	0x85D5	0xAAD7	U+0163	15781
1-1056	0x2A58	0x85D6	0xAAD8	U+02D9	15782
1-1057	0x2A59	0x85D7	0xAAD9	U+0108	15783
1-1058	0x2A5A	0x85D8	0xAADA	U+011C	15784
1-1059	0x2A5B	0x85D9	0xAADB	U+0124	15785
1-1060	0x2A5C	0x85DA	0xAADC	U+0134	15786
1-1061	0x2A5D	0x85DB	0xAADD	U+015C	15787
1-1062	0x2A5E	0x85DC	0xAADE	U+016C	15788
1-1063	0x2A5F	0x85DD	0xAADF	U+0109	15789
1-1064	0x2A60	0x85DE	0xAAE0	U+011D	15790
1-1065	0x2A61	0x85DF	0xAAE1	U+0125	15791
1-1066	0x2A62	0x85E0	0xAAE2	U+0135	15792
1-1067	0x2A63	0x85E1	0xAAE3	U+015D	15793
1-1068	0x2A64	0x85E2	0xAAE4	U+016D	15794
1-1069	0x2A65	0x85E3	0xAAE5	U+0271	15795
1-1070	0x2A66	0x85E4	0xAAE6	U+028B	15796
1-1071	0x2A67	0x85E5	0xAAE7	U+027E	15797
1-1072	0x2A68	0x85E6	0xAAE8	U+0283	9442
1-1073	0x2A69	0x85E7	0xAAE9	U+0292	9441
1-1074	0x2A6A	0x85E8	0xAAEA	U+026C	15798
1-1075	0x2A6B	0x85E9	0xAAEB	U+026E	15799
1-1076	0x2A6C	0x85EA	0xAAEC	U+0279	15800
1-1077	0x2A6D	0x85EB	0xAAED	U+0288	15801
1-1078	0x2A6E	0x85EC	0xAAEE	U+0256	15802
1-1079	0x2A6F	0x85ED	0xAAEF	U+0273	15803
1-1080	0x2A70	0x85EE	0xAAF0	U+027D	15804
1-1081	0x2A71	0x85EF	0xAAF1	U+0282	15805
1-1082	0x2A72	0x85F0	0xAAF2	U+0290	15806
1-1083	0x2A73	0x85F1	0xAAF3	U+027B	15807
1-1084	0x2A74	0x85F2	0xAAF4	U+026D	15808
1-1085	0x2A75	0x85F3	0xAAF5	U+025F	15809
1-1086	0x2A76	0x85F4	0xAAF6	U+0272	15810
1-1087	0x2A77	0x85F5	0xAAF7	U+029D	15811
1-1088	0x2A78	0x85F6	0xAAF8	U+028E	15812
1-1089	0x2A79	0x85F7	0xAAF9	U+0261	15813
1-1090	0x2A7A	0x85F8	0xAAFA	U+014B	9436
1-1091	0x2A7B	0x85F9	0xAAFB	U+0270	15814
1-1092	0x2A7C	0x85FA	0xAAFC	U+0281	15815
1-1093	0x2A7D	0x85FB	0xAAFD	U+0127	15816
1-1094	0x2A7E	0x85FC	0xAAFE	U+0295	15817
1-1101	0x2B21	0x8640	0xABA1	U+0294	15818
1-1102	0x2B22	0x8641	0xABA2	U+0266	15819
1-1103	0x2B23	0x8642	0xABA3	U+0298	15820
1-1104	0x2B24	0x8643	0xABA4	U+01C2	15821
1-1105	0x2B25	0x8644	0xABA5	U+0253	15822
1-1106	0x2B26	0x8645	0xABA6	U+0257	15823
1-1107	0x2B27	0x8646	0xABA7	U+0284	15824
1-1108	0x2B28	0x8647	0xABA8	U+0260	15825
